sequence,condition,interleaves,noise,seed,region,parameter,requested_voxels,valid_voxels,invalid_voxels,mae,rmse,nrmse,bias
flip_only,spiral_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,6.71875,11.59202311936963,0.1288002568818848,-6.71875
flip_only,spiral_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.000103125,0.0001758905909933786,0.17589059099337861,-0.000103125
flip_only,spiral_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.09765625,0.2209708691207961,0.31567267017256584,-0.09765625
flip_only,spiral_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,0.1630857094658955,0.19860871750171055,0.22067635277967834,0.08580405775626082
final,spiral_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,10.0,14.142135623730951,0.17541160386140586,1.40625
final,spiral_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,7.031250000000001e-05,0.00014523687548277815,0.16826692601120918,-9.375000000000001e-06
final,spiral_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.134765625,0.25958199571618984,0.5042566451232381,0.021484375
final,spiral_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,0.14374251852888925,0.18111965734388155,0.1903887569117841,0.09385787168904539
final,spiral_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,11.40625,15.103807466993215,0.21576867809990308,11.40625
final,spiral_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,6.0937500000000004e-05,0.0001352081728298996,0.19315453261414228,6.0937500000000004e-05
final,spiral_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.15625,0.2795084971874737,1.3975424859373682,0.15625
final,spiral_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,0.12739152861154307,0.16084438337000392,0.16084438337000392,0.091838081332423
final,spiral_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,8.59375,13.110110602126895,0.14566789557918772,-8.59375
final,spiral_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,7.96875e-05,0.00015461646096066227,0.15461646096066226,-7.96875e-05
final,spiral_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.11328125,0.23799290955824715,0.3399898707974959,-0.11328125
final,spiral_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,0.1600935084462354,0.19934328403799648,0.22149253781999603,0.09587766204566775
initial,spiral_L4_noise0,4,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,all,t2_ms,256,256,0,1.640625,5.7282196186948,0.07104982000735063,-0.703125
initial,spiral_L4_noise0,4,0.0,2026,all,md_mm2_per_s,256,256,0,3.5156250000000003e-06,3.247595264191645e-05,0.03762562849259913,-3.5156250000000003e-06
initial,spiral_L4_noise0,4,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,all,proton_density,256,256,0,0.059359508091958085,0.06926792738353066,0.07281282872221398,0.05734822521743143
initial,spiral_L4_noise0,4,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,region_0,t2_ms,128,128,0,0.9375,4.330127018922194,0.061858957413174195,0.9375
initial,spiral_L4_noise0,4,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,region_0,proton_density,128,128,0,0.06355470735871885,0.07367593107025146,0.07367593107025146,0.061826733694556865
initial,spiral_L4_noise0,4,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,region_1,t2_ms,128,128,0,2.34375,6.846531968814577,0.07607257743127308,-2.34375
initial,spiral_L4_noise0,4,0.0,2026,region_1,md_mm2_per_s,128,128,0,7.031250000000001e-06,4.592793267718459e-05,0.04592793267718459,-7.031250000000001e-06
initial,spiral_L4_noise0,4,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0,4,0.0,2026,region_1,proton_density,128,128,0,0.055164308825197315,0.06455965232985465,0.07173294703317182,0.052869716740305994
flip_only,spiral_L4_noise0,4,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0,4,0.0,2026,all,t2_ms,256,256,0,6.796875,11.659223816361019,0.1446148731578517,-1.328125
flip_only,spiral_L4_noise0,4,0.0,2026,all,md_mm2_per_s,256,256,0,4.570312500000001e-05,0.00011709371246996998,0.135661132801625,-2.2265625e-05
flip_only,spiral_L4_noise0,4,0.0,2026,all,fa,256,256,0,0.00390625,0.04419417382415922,0.08585035246793063,0.00390625
flip_only,spiral_L4_noise0,4,0.0,2026,all,proton_density,256,256,0,0.0644979930033226,0.07954212280636964,0.08361282317620711,0.0509963123949573
flip_only,spiral_L4_noise0,4,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0,4,0.0,2026,region_0,t2_ms,128,128,0,5.46875,10.458250331675945,0.14940357616679922,5.46875
flip_only,spiral_L4_noise0,4,0.0,2026,region_0,md_mm2_per_s,128,128,0,2.34375e-05,8.385254915624212e-05,0.11978935593748873,2.34375e-05
flip_only,spiral_L4_noise0,4,0.0,2026,region_0,fa,128,128,0,0.0078125,0.0625,0.3124999999999999,0.0078125
flip_only,spiral_L4_noise0,4,0.0,2026,region_0,proton_density,128,128,0,0.06887770761347453,0.08409941788682897,0.08409941788682897,0.06298488591527113
flip_only,spiral_L4_noise0,4,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0,4,0.0,2026,region_1,t2_ms,128,128,0,8.125,12.747548783981962,0.14163943093313291,-8.125
flip_only,spiral_L4_noise0,4,0.0,2026,region_1,md_mm2_per_s,128,128,0,6.796875e-05,0.0001427957457349483,0.1427957457349483,-6.796875e-05
flip_only,spiral_L4_noise0,4,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0,4,0.0,2026,region_1,proton_density,128,128,0,0.06011827839317067,0.07470733907845797,0.08300815453161994,0.03900773887464347
final,spiral_L4_noise0,4,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0,4,0.0,2026,all,t2_ms,256,256,0,5.859375,10.825317547305483,0.13427153888239368,-1.171875
final,spiral_L4_noise0,4,0.0,2026,all,md_mm2_per_s,256,256,0,4.1015625e-05,0.0001109264959331178,0.12851598756731664,-1.9921875e-05
final,spiral_L4_noise0,4,0.0,2026,all,fa,256,256,0,0.00390625,0.04419417382415922,0.08585035246793063,0.00390625
final,spiral_L4_noise0,4,0.0,2026,all,proton_density,256,256,0,0.06268963812034667,0.07738780448067752,0.08134825402873982,0.05044536288441559
final,spiral_L4_noise0,4,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0,4,0.0,2026,region_0,t2_ms,128,128,0,4.6875,9.682458365518542,0.13832083379312202,4.6875
final,spiral_L4_noise0,4,0.0,2026,region_0,md_mm2_per_s,128,128,0,2.109375e-05,7.95495128834866e-05,0.11364216126212369,2.109375e-05
final,spiral_L4_noise0,4,0.0,2026,region_0,fa,128,128,0,0.0078125,0.0625,0.3124999999999999,0.0078125
final,spiral_L4_noise0,4,0.0,2026,region_0,proton_density,128,128,0,0.06849371724680306,0.08307634298865622,0.08307634298865622,0.06356019499267251
final,spiral_L4_noise0,4,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0,4,0.0,2026,region_1,t2_ms,128,128,0,7.03125,11.858541225631422,0.13176156917368245,-7.03125
final,spiral_L4_noise0,4,0.0,2026,region_1,md_mm2_per_s,128,128,0,6.0937500000000004e-05,0.0001352081728298996,0.1352081728298996,-6.0937500000000004e-05
final,spiral_L4_noise0,4,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0,4,0.0,2026,region_1,proton_density,128,128,0,0.05688555899389029,0.07124651430287865,0.07916279366986514,0.037330530776158666
initial,spiral_L16_noise0,16,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,all,t2_ms,256,256,0,0.9375,4.330127018922194,0.05370861555295747,-0.625
initial,spiral_L16_noise0,16,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,all,proton_density,256,256,0,0.05813124849919117,0.06202404566816589,0.06519822931743607,0.05813124849919117
initial,spiral_L16_noise0,16,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_0,t2_ms,128,128,0,0.3125,2.5,0.03571428571428571,0.3125
initial,spiral_L16_noise0,16,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_0,proton_density,128,128,0,0.0630560745779474,0.06742112193237444,0.06742112193237444,0.0630560745779474
initial,spiral_L16_noise0,16,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_1,t2_ms,128,128,0,1.5625,5.5901699437494745,0.06211299937499416,-1.5625
initial,spiral_L16_noise0,16,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0,16,0.0,2026,region_1,proton_density,128,128,0,0.05320642242043493,0.05611022009824373,0.06234468899804857,0.05320642242043493
flip_only,spiral_L16_noise0,16,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,all,t2_ms,256,256,0,1.484375,5.448623679425842,0.06758185919540607,0.078125
flip_only,spiral_L16_noise0,16,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,all,proton_density,256,256,0,0.054822006028540066,0.06051573292340116,0.06361272616045552,0.054577119245240016
flip_only,spiral_L16_noise0,16,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_0,t2_ms,128,128,0,1.5625,5.5901699437494745,0.07985957062499249,1.5625
flip_only,spiral_L16_noise0,16,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_0,proton_density,128,128,0,0.0629621656750588,0.0681378842725665,0.0681378842725665,0.0629621656750588
flip_only,spiral_L16_noise0,16,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_1,t2_ms,128,128,0,1.40625,5.303300858899107,0.05892556509887896,-1.40625
flip_only,spiral_L16_noise0,16,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0,16,0.0,2026,region_1,proton_density,128,128,0,0.04668184638202133,0.051783555202121564,0.057537283557912836,0.046192072815421224
final,spiral_L16_noise0,16,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,all,t2_ms,256,256,0,1.328125,5.153882032022076,0.06392603899459486,-0.078125
final,spiral_L16_noise0,16,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,all,proton_density,256,256,0,0.054723338054156544,0.06031327248927244,0.06339990447702885,0.05456469651688832
final,spiral_L16_noise0,16,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,region_0,t2_ms,128,128,0,1.25,5.0,0.07142857142857142,1.25
final,spiral_L16_noise0,16,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
